test_correct,test_loss,train_loss
0.17674836968742974,3.2945138542255927,5.073601686046459
0.11918147065437373,2.853888121995868,6.712033738692601
0.21767483696874299,2.8791247728783977,5.8892682492733
0.08050371036653924,3.210813727785234,6.410351385672887
0.09849336631436924,2.712976873014813,5.573525120814641
0.1463908252754666,2.4994062557096077,6.242044758051634
0.1086125477850236,3.0060366747860217,7.316922108332316
0.1571846188441646,2.628680706774757,5.372930350402991
0.271643804812233,2.193343604954007,6.657745063304901
0.34202833370811786,1.9787155710661681,6.193918426831563
0.15561052394872948,2.8727246596085667,5.316260536511739
0.17584888689003822,2.367852463410199,6.16242378950119
0.2696199685181021,1.93066842705581,7.188353896141052
0.3370811783224646,1.9555102709252727,6.3765668869018555
0.31706768608050373,1.849322144680139,7.495193521181743
0.25567798515853385,1.9166115447057883,7.484335740407308
0.2747919946031032,1.9452940055378802,6.57487032810847
0.3053744097144142,1.9279085866569106,6.5938876668612165
0.3676635934337756,1.806693342795178,6.938772201538086
0.4486170451990106,1.5435552063056905,7.278799593448639
0.3665392399370362,1.6911893398112492,7.736761649449666
0.39397346525747695,1.6372909254241799,7.072707116603851
0.4877445468855408,1.4432452720606062,6.672469596068065
0.4630087699572746,1.5020844253872871,6.9376784563064575
0.3350573420283337,1.8544172214502053,6.788219173749288
0.43377557904205083,1.5525796391440156,6.992596069971721
0.34989880818529345,1.770993252671218,6.3606889843940735
0.4501911400944457,1.5145168008497654,6.826787153879802
0.33573195412637735,1.7636193424925688,6.395405252774556
0.3811558353946481,1.724224202949759,6.841478407382965
0.4411963121205307,1.5306158012182547,6.1510617931683855
0.3676635934337756,1.6662835030440992,6.065333644549052
0.4214076905779177,1.5510442213500675,6.325401067733765
0.39487294805486844,1.7140083630379328,6.253458897272746
0.4630087699572746,1.4784119256244554,6.6969112157821655
0.44209579491792217,1.5180764255133377,6.152893503506978
0.4735776928266247,1.4322659917324883,5.944369991620381
0.4807735552057567,1.4234659354928534,6.572561343510945
0.4304025185518327,1.5089942377981294,6.3483021060625715
0.48099842590510455,1.4054022605214893,6.092809538046519
